Date,Open,High,Low,Close,Adj Close,Volume
11/17/2022,157.149994,162.660004,155.350006,156.770004,156.674164,71089400
11/18/2022,159.660004,160.020004,151.199997,154.089996,153.995789,49207200
11/21/2022,151.470001,154.770004,150.800003,153.169998,153.07637,40473900
11/22/2022,153.279999,160.580002,151.220001,160.380005,160.281967,47286600
11/23/2022,160.979996,165.270004,160.479996,165.190002,165.089005,42724100
11/25/2022,163.179993,164.869995,161.720001,162.699997,162.60054,16793400
11/28/2022,160.259995,163.570007,157.25,158.270004,158.173248,30374100
11/29/2022,158.270004,159.320007,155.199997,156.389999,156.294403,29838400
11/30/2022,156.970001,169.300003,155.970001,169.229996,169.169815,56529800
12/1/2022,169.990005,172.649994,166.350006,171.350006,171.289063,47097700
12/2/2022,166.589996,169.330002,164.449997,168.759995,168.699982,37138900
12/5/2022,166.789993,169.949997,164.720001,166.100006,166.040939,35225500
12/6/2022,165.300003,165.729996,158.190002,159.869995,159.813141,35269400
12/7/2022,157.720001,161.860001,156.669998,161.199997,161.14267,37238800
12/8/2022,162.729996,171.789993,159.589996,171.690002,171.628952,51545600
12/9/2022,171.600006,175.830002,169.75,170.009995,169.949524,46533800
12/12/2022,170.369995,175.380005,167.970001,175.350006,175.287643,45732800
12/13/2022,185.309998,187.899994,177.110001,180.720001,180.655731,65658900
12/14/2022,179.869995,182.520004,174.199997,176.740005,176.677155,49688800
12/15/2022,171.460007,173.199997,167,169.520004,169.459732,47854200
12/16/2022,168.639999,170.410004,164.100006,165.710007,165.651062,47823200
12/19/2022,165.720001,166.089996,161.449997,162.539993,162.482193,35403900
12/20/2022,160.639999,163.100006,158.520004,160.850006,160.792801,40326000
12/21/2022,161.139999,166.270004,161.020004,165.009995,164.951309,32502500
12/22/2022,160.940002,161.380005,148.820007,153.389999,153.335449,56504500
12/23/2022,151.960007,153.389999,148.830002,152.059998,152.00592,34932600
12/27/2022,150.740005,151,140.559998,141.210007,141.15979,46490200
12/28/2022,139.270004,142.619995,138.839996,140.360001,140.310074,35106600
12/29/2022,144.020004,146.830002,142.270004,146.029999,145.978073,35492300
12/30/2022,143.339996,146.289993,142.330002,146.139999,146.088028,31049000
1/3/2023,148.509995,149.960007,140.960007,143.149994,143.099075,40127700
1/4/2023,145.669998,148.529999,142.410004,147.490005,147.437561,43132400
1/5/2023,144.910004,145.639999,141.479996,142.649994,142.599274,38916800
1/6/2023,144.740005,150.100006,140.339996,148.589996,148.537155,40504400
1/9/2023,152.839996,160.559998,151.410004,156.279999,156.224411,50423100
1/10/2023,155.070007,159.619995,154.720001,159.089996,159.033417,38410100
1/11/2023,158.399994,160.279999,155.630005,160.009995,159.953094,35328500
