AAPL
ABBV
LOW
AUST
HOOD
AMZN
AXP
BAC
BMBL
BK
SQ
CELG
VZ
CMCSA
SHOP
COST
CSCO
CVS
GM
GOOG
JPM
IBM
ORCL
OXY
DUOL
PEP
SLB
SO
SPG
PYPL
